"СКО (σ), м","HFOM (2σ), м","Вероятность невыявления, %",Невыявлено,Всего
0.0,0.0,0.00,0,850
50.0,100.0,0.00,0,850
100.0,200.0,0.00,0,850
150.0,300.0,0.00,0,850
200.0,400.0,0.00,0,850
250.0,500.0,0.24,2,850
300.0,600.0,0.12,1,850
350.0,700.0,0.12,1,850
400.0,800.0,0.12,1,850
450.0,900.0,0.35,3,850
500.0,1000.0,0.47,4,850
600.0,1200.0,2.35,20,850
700.0,1400.0,5.06,43,850
800.0,1600.0,8.47,72,850
900.0,1800.0,12.35,105,850
1000.0,2000.0,14.59,124,850
1100.0,2200.0,17.88,152,850
1200.0,2400.0,20.00,170,850
1300.0,2600.0,23.76,202,850
1400.0,2800.0,28.24,240,850
1500.0,3000.0,33.65,286,850
1600.0,3200.0,38.12,324,850
1700.0,3400.0,43.41,369,850
1800.0,3600.0,46.12,392,850
1900.0,3800.0,49.41,420,850
2000.0,4000.0,52.24,444,850
