alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,34.65803638929248,0.0,NEAR,,192.65803638929248,34.65803638929248,RECOVERY,,360.0,192.65803638929248,NEAR,,700.0,10.0,NEAR,,,,,,4996.659083069601,119.51636383291023,44.990432696885556,45.0024247745235,12.65803638933026,0.8683648147717488,0,5002.578294057429,152.3530972376792,AC1,45.001784235437285,45.02565000435099,270.1861848785969,1.0407842312926974,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-3029.062044336268,-6000.0,RECOVERY,,6000.0,-3029.062044336268,NEAR,,,,,
Warning,34.65803638929248,0.0,NEAR,,192.65803638929248,34.65803638929248,RECOVERY,,360.0,192.65803638929248,NEAR,,700.0,10.0,NEAR,,,,,,5005.837899890144,124.71547582199852,44.99074478046991,45.002882839060895,42.47727544086042,-1.3970728824447598,1,4986.539478348404,147.92679588138623,AC1,45.00170301014863,45.024740671872266,273.30870163368195,-3.554427457355361,16299.999999999998,100.0,RECOVERY,,50000.0,16299.999999999998,NEAR,,,,,,-3029.062044336268,-6000.0,RECOVERY,,6000.0,-3029.062044336268,NEAR,,,,,
Warning,34.65803638929248,0.0,NEAR,,220.27140929704774,34.65803638929248,RECOVERY,,360.0,220.27140929704774,NEAR,,209.73973694353325,10.0,RECOVERY,,700.0,209.73973694353325,NEAR,,5017.15762629114,118.1883320175376,44.9911758265138,45.00346931543506,40.27140929697613,-1.557806287095074,2,4996.823314586806,146.71231763009823,AC1,45.0018157093637,45.02386625403608,273.4183181502582,-4.341869863240456,16299.999999999998,100.0,RECOVERY,,16599.999999999996,16299.999999999998,NEAR,,50000.0,16599.999999999996,RECOVERY,,-3029.062044336268,-6000.0,RECOVERY,,2224.985653062063,-3029.062044336268,NEAR,,6000.0,2224.985653062063,RECOVERY,
Warning,47.45911028983332,0.0,NEAR,,220.27140929704774,47.45911028983332,RECOVERY,,360.0,220.27140929704774,NEAR,,227.42748924794856,10.0,RECOVERY,,700.0,227.42748924794856,NEAR,,5003.353088879891,118.7686811143465,44.9915728280821,45.00398485064501,37.459110289853015,-7.827048906479998,3,4985.632304233147,152.35317958558247,AC1,45.00170318490638,45.02285727610167,268.0549220152995,-7.547637628757565,16299.999999999998,100.0,RECOVERY,,16399.999999999996,16299.999999999998,NEAR,,50000.0,16399.999999999996,RECOVERY,,1993.3452190757714,-6000.0,NEAR,,6000.0,1993.3452190757714,RECOVERY,,,,,
Warning,48.27140929704774,0.0,NEAR,,222.47727544082238,48.27140929704774,RECOVERY,,360.0,222.47727544082238,NEAR,,230.86784531934538,10.0,RECOVERY,,700.0,230.86784531934538,NEAR,,4995.200241261077,119.66449972796883,44.99190182523358,45.004609875448,51.67157437741673,4.405529878022727,4,4995.980963467163,149.56189274424483,AC1,45.001724544195234,45.02197628565493,268.4215202128953,7.048414963569465,50000.0,100.0,RECOVERY,,,,,,,,,,659.2423412440919,-6000.0,NEAR,,6000.0,659.2423412440919,RECOVERY,,,,,
Warning,48.27140929704774,0.0,NEAR,,230.40400604111912,48.27140929704774,RECOVERY,,360.0,230.40400604111912,NEAR,,230.86784531934538,10.0,RECOVERY,,700.0,230.86784531934538,NEAR,,4998.245807391601,120.93744820339369,44.99229033618678,45.005218706899285,50.40400604119002,-5.765107753871312,5,4993.170975360155,150.0610864151193,AC1,45.001711289570466,45.020902933747166,271.0360991107008,6.656980012650029,50000.0,100.0,RECOVERY,,,,,,,,,,-1634.8637310770325,-6000.0,RECOVERY,,659.2423412440919,-1634.8637310770325,NEAR,,6000.0,659.2423412440919,RECOVERY,
Warning,53.92536330041205,0.0,NEAR,,231.6715743773572,53.92536330041205,RECOVERY,,360.0,231.6715743773572,NEAR,,700.0,10.0,RECOVERY,,,,,,4997.398157209718,120.3120609888922,44.992539028604426,45.00579598532866,51.925363300376475,2.6705211651146987,6,5000.7106790933485,152.63565045986553,AC1,45.00170191500488,45.019985494227434,268.27085789730313,0.47192077489515705,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,61.404006041119125,0.0,NEAR,,231.92536330041202,61.404006041119125,RECOVERY,,360.0,231.92536330041202,NEAR,,700.0,10.0,RECOVERY,,,,,,5007.084342015141,119.81788574516872,44.992892736800755,45.00650236565557,61.509250321141515,-3.8477548323134005,7,4988.6308036258215,152.83301984944745,AC1,45.001774896969906,45.01895911450637,267.43360098042814,9.822134261701667,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,61.404006041119125,0.0,NEAR,,241.50925032108654,61.404006041119125,RECOVERY,,360.0,241.50925032108654,NEAR,,700.0,10.0,RECOVERY,,,,,,5001.050682968082,118.519221543167,44.99311648207312,45.00729170397571,65.55783048432048,-0.2322130113311298,8,5004.726950045225,148.77676444475173,AC1,45.001681964498644,45.01805485826553,266.9624803300054,-1.8974327762204732,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,53.98296696205738,0.0,NEAR,,243.9829669620574,53.98296696205738,RECOVERY,,360.0,243.9829669620574,NEAR,,700.0,10.0,RECOVERY,,,,,,4997.310578405691,118.45108531965701,44.99336072950948,45.00786518639711,63.98296696206377,4.156101034500073,9,5007.789662474638,147.2319957531988,AC1,45.001748896107,45.01704408634435,269.09268633121036,-0.3135866755876423,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
